"rad","U"
0.777836613887613,41.2559820409657
0.848549033331941,41.2498556401119
0.919261452776269,41.2605971785438
0.989973872220598,41.3022455901321
1.06068629166493,41.3828267269812
1.13139871110925,41.5022966256936
1.20211113055358,41.6276486866747
1.27282354999791,41.7542615482374
1.34353596944224,41.5020145544769
1.41424838888657,41.3925945664904
1.4849608083309,41.314784186931
1.55567322777523,41.2684911060429
1.62638564721955,41.2506413026219
0.813192823609777,41.252110388154
0.954617662498434,41.2769372605025
1.02533008194276,41.3373478835298
1.09604250138709,41.4391078073725
1.27989479194234,41.7670203313181
1.34353596944224,41.502014554486
1.31525100166451,41.5539013986403
1.30817975972008,41.817858357159
1.25868106610905,41.7287715778206
1.22332485638688,41.6653996228757
1.31171538069229,41.8241372267817
1.32232224360894,41.8426630386616
1.33646472749781,41.5145866980459
