"","dphis","Us"
"1",0.01,47.4025489139825
"2",0.11,47.4222298161113
"3",0.21,47.4738757447854
"4",0.31,47.5547952525056
"5",0.41,47.4304728353792
"6",0.51,47.5370736037977
"7",0.61,47.4049213745105
"8",0.71,47.4082561963626
"9",0.81,47.4438966745986
"10",0.91,47.4027090522603
"11",1.01,47.4235402946183
"12",1.11,47.4437511036249
"13",1.21,47.4070750846227
"14",1.31,47.4069493023215
"15",1.41,47.468329403976
"16",1.51,47.4126868879227
"17",1.61,47.4068963214668
"18",1.71,47.4599955671666
"19",1.81,47.4121634544556
"20",0.041,47.4051509504448
"21",0.071,47.4106720890909
"22",0.101,47.4191262192057
"23",0.131,47.4304808285192
"24",0.161,47.4446905941448
"25",0.191,47.461695165161
"26",0.221,47.4814166892138
"27",0.251,47.5037555758608
"28",0.281,47.5285838991122
"29",0.311,47.5557348237861
"30",0.341,47.5849820186364
"31",0.371,47.6159998867895
"32",0.401,47.4256417073962
"33",0.431,47.4434685761299
"34",0.461,47.4661006532966
"35",0.491,47.493223868644
"36",0.521,47.4287678647354
"37",0.551,47.417961022724
"38",0.581,47.4099571757352
"39",0.611,47.7520002554626
"40",0.641,47.4025068322993
"41",0.612,47.40467273118
"42",0.582,47.4097391347323
